S02511	La Grande Rivoire	Sassenage, Isère	45.209	5.633	France	the site was discovered by chance in 1986 following the quarrying of the scree at the foot of the cliff, the site has been the subject of five rescue campaigns between 1986 and 1994 under the direction of Regis Picavet; due to contiuing threat from collapse of the entire sedimentary fill in the shelter the site was excavated again from 2000 (dir: PY Nicod); the shelter was used as a sheep pen throughout prehistoric and historic periods; the site was excavated in spits/levels (c.60 spits/levels over 1.5m); different Neolithic levels at the site have been sampled for environmental materials: early Neolithic, early/middle Neolithic transition, middle Neolithic I, Middle Neolithic 2 (=S. Chasseen), final Neolithic (c.4700-2600BC); archaeobotany: samples were taken during the recent excavation of the site between 2004-2008; volumes ranging from 0.8-20 litres were taken from each of the sedimentary facies of each level - analyses reported by LM were carried out on almost all the Neolithic sequence (d63-d122 levels) in the sheep pen - a total of 65 samples (total volume: 564.4L); each sample was allowed to settle in water for at least 12 hours and then wet-sieved on a column of three sieves (mesh size: 5 mm, 2 mm and 0.5 mm for screening done on site (levels d63-110) and 4 mm, 2 mm and 0.5 mm when screening was done at IPSA Basel (levels d112-122); all remains are charred and preservation overall is recorded as being good; I've entered data in table 2 in which fragments have been converted to 'whole grain/seed equivalents' (appendix 2 has full listing)	\N	\N	2023-10-16 08:36:17	jelena@localhost
S01605	COUEDAN	\N	47.983	-2.917	France	\N	\N	\N	\N	\N
S10769	Волосово-Даниловск; Volosovo-Danilovsky	\N	57.887	40.277	Russia	\N	2022-04-27 10:55:49	robert@localhost	2022-04-27 11:55:49	robert@localhost
S03550	ROUCADOUR GROTTE DE	\N	44.740	1.830	France	\N	\N	\N	\N	\N
S06947	Creggan	\N	53.628	-8.189	Ireland	\N	\N	\N	\N	\N
S06782	Ballylegan	\N	52.200	-8.366	Ireland	\N	\N	\N	\N	\N
S03689	Schenkon	\N	47.177	8.132	Switzerland	\N	\N	\N	\N	\N
S02556	La Roque sure Perne Fraischamp	\N	43.960	5.040	France	\N	\N	\N	\N	\N
S02010	Giant's Hills 2	\N	53.220	0.140	Great Britain	\N	\N	\N	\N	\N
S12988	Hulterstad by; Hulterstad 77: 4	Öland	56.444	16.566	Sweden	Swedish Sites and Monuments Record (SHM)	2023-10-17 09:45:12	sam@localhost	2023-10-17 09:45:12	sam@localhost
S07475	Laschendorf 8	\N	53.481	12.469	Germany	\N	\N	\N	\N	\N
S20928	Balatonlelle	\N	46.770	17.750	Hungary	\N	2025-01-09 20:55:20	jan@localhost	2025-01-09 20:55:20	jan@localhost
S06777	Ballygowan	\N	54.500	-5.791	Ireland	\N	\N	\N	\N	\N
S12716	Sikuli	\N	43.560	16.310	Croatia	\N	2023-07-25 08:23:15	jelena@localhost	2023-07-25 08:23:15	jelena@localhost
S12022	Вишнювате; Вишневатое; Vyshnyuvate	Zaporozhye region (Запорожская область)	47.439	37.201	Ukraine	location of the village	2023-04-07 15:28:52	natalya@localhost	2023-04-07 15:28:52	natalya@localhost
S03574	Saalhausen	\N	51.590	13.920	Germany	\N	\N	\N	\N	\N
S10861	Vinkovci Nama; Vinkovci Na-Ma	\N	45.280	18.800	Croatia	coordinates: gelab2023a	2022-05-02 12:28:06	sam@localhost	2023-11-20 18:21:51	robert@localhost
S08102	Oreby Rende	\N	54.819	11.608	Denmark	\N	\N	\N	\N	\N
S11268	Eura Luistari	\N	61.107	22.143	Finland	Within 3 km	2022-10-06 10:33:25	claudia@localhost	2022-10-06 10:33:25	claudia@localhost
S08686	Hadersdorf	\N	48.410	15.600	Austria	\N	\N	\N	\N	\N
S20751	Mang de Bargen, Kr. Segeberg, LA 24	Schleswig-Holstein	54.066	10.262	Germany	Google Earth: +/- 20 m radius	2024-11-01 09:39:54	helene@localhost	2024-11-01 09:39:54	helene@localhost
S13156	Devetaki; Devetaška peštera; Devetaki Cave	\N	43.233	24.885	Bulgaria	\N	2024-02-20 17:24:53	jan@localhost	2024-02-20 17:36:19	jan@localhost
S07011	Gallagh	\N	53.436	-8.478	Ireland	\N	\N	\N	\N	\N
S20373	Geldermalsen-Hondsgemet	Gelderland Province	51.882	5.301	Netherlands	based on the publication groot2024a (not exact location)	2024-07-09 13:19:34	jelena@localhost	2024-07-16 13:45:49	jelena@localhost
S20773	Kunda	Viru-Nigula Parish	59.500	26.526	Estonia	Found to town with GoogleMaps; within 5km	2024-11-07 11:47:20	sam@localhost	2024-11-07 11:47:20	sam@localhost
S10832	Fajsz	\N	46.415	18.916	Hungary	Within 6 km	2022-05-02 11:31:41	sam@localhost	2022-05-02 12:31:41	sam@localhost
S11904	Лука-Врублевецкая; Лука-Врублівецька; Luka-Vrublivetska	Khmelnytskyi region (Хмельницька область)	48.550	26.768	Ukraine	approximate location (the site is 22 km east of the town of Kam'yanets'-Podil's'kyi (Кам'янець-Подільський))	2023-03-28 07:58:10	jelena@localhost	2023-04-04 14:58:05	natalya@localhost
S20514	Nijmegen-Weurtseweg	Gelderland Province	51.845	5.867	Netherlands	based on the publication groot2024a (not exact location)	2024-07-19 13:48:27	jelena@localhost	2024-07-19 13:48:27	jelena@localhost
S06362	Feltwell	\N	52.504	0.493	Great Britain	\N	\N	\N	\N	\N
S06651	The Trundle	\N	50.891	-0.753	Great Britain	\N	\N	\N	\N	\N
S13357	Živojno-Vlaho	\N	40.895	21.608	North Macedonia	\N	2024-08-02 17:14:29	jan@localhost	2024-08-02 17:14:29	jan@localhost
S06094	Wittmar	\N	52.122	10.638	Germany	\N	\N	\N	\N	\N
S11495	Доброводы; Доброводи; Dobrovodi	Cherkasy region(Черкаська область)	48.757	30.410	Ukraine	Approximate location	2023-02-06 12:55:20	natalya@localhost	2023-02-06 12:55:20	natalya@localhost
S12933	Kirchheim	\N	48.180	11.760	Germany	Exact location in publication	2023-08-23 08:48:16	sam@localhost	2023-08-23 08:48:16	sam@localhost
S11197	Rosengård 173:3	\N	55.563	13.080	Sweden	\N	2022-08-17 15:45:55	claudia@localhost	2022-08-17 15:45:55	claudia@localhost
S01014	Abri des Autours	\N	50.250	4.900	Belgium	\N	\N	\N	\N	\N
S12155	Sømna, Nordland	Nordland	65.314	12.167	Norway	\N	2023-04-27 13:45:48	sam@localhost	2023-04-27 13:45:48	sam@localhost
S06355	Eildon Hill North	\N	55.587	-2.706	Great Britain	\N	\N	\N	\N	\N
S11531	Ветренная; Ветреная; Vetrenaya	Crimean peninsula (полуостров Крым)	45.528	32.718	Ukraine	\N	2023-02-13 17:30:53	natalya@localhost	2023-02-13 17:30:53	natalya@localhost
S11527	Уч-Баш; Uch-Bash	Crimean peninsula (полуостров Крым)	44.606	33.604	Ukraine	\N	2023-02-13 17:30:53	natalya@localhost	2023-02-13 17:30:53	natalya@localhost
S03904	SUR LE PETIT PRE 2	Bourgogne-Franche-Comté	47.330	5.080	France	\N	\N	\N	2024-08-12 17:45:32	fredrik@localhost
S10856	Tiszaföldvár Téglagyár; Tiszaföldvár-Brickyard	\N	46.982	20.267	Hungary	Found to town; within 7 km	2022-05-02 11:31:41	sam@localhost	2023-07-18 13:20:08	jelena@localhost
S07776	Rozniaty 5	\N	52.706	18.294	Poland	\N	\N	\N	\N	\N
S06330	Dinorben	\N	53.268	-3.548	Great Britain	\N	\N	\N	\N	\N
S06507	Mingie Ditch	\N	51.750	-1.434	Great Britain	\N	\N	\N	\N	\N
S12908	Alibeg; Алибег	\N	44.594	22.702	Serbia	\N	2023-07-11 13:35:16	jan@localhost	2023-07-11 14:21:02	jelena@localhost
S11112	Písek-nemocnice	\N	49.301	14.156	Czechia / Czech Republic	\N	2022-06-28 19:44:34	claudia@localhost	2022-06-28 20:44:34	claudia@localhost
S07018	Glencurran Cave	\N	53.864	-7.252	Ireland	\N	\N	\N	\N	\N
S02203	Havelte	\N	52.772	6.240	Netherlands	\N	\N	\N	\N	\N
S01069	Almere-Hout "Zwaanpad"	\N	52.340	5.300	Netherlands	\N	\N	\N	\N	\N
S12592	Fruntișeni	Vaslui County	46.206	27.770	Romania	\N	2023-06-22 13:54:07	jelena@localhost	2023-07-26 06:42:23	jelena@localhost
S08013	Kobberup	\N	56.515	9.113	Denmark	\N	\N	\N	\N	\N
S13208	Lisbjerg Terp Vest; 150604-138	Jutland	56.217	10.177	Denmark	\N	2024-03-20 15:58:57	helene@localhost	2024-03-20 15:58:57	helene@localhost
S12725	Красносамарское; Krasnosamarskoe; Krasnosamarskoye	Samara District	53.059	50.773	Russia	location of the village	2023-08-28 08:14:49	jelena@localhost	2023-08-28 08:14:49	jelena@localhost
S20462	Leiden-Roomburg	Zuid-Holland Province	52.146	4.508	Netherlands	based on the publication groot2024a (not exact location)	2024-07-18 10:50:46	jelena@localhost	2024-07-18 10:50:46	jelena@localhost
S02794	LES VERNES	\N	45.840	5.030	France	\N	\N	\N	\N	\N
S10975	Stoicani	Galaţi County	45.705	28.080	Romania	\N	2022-05-16 14:09:24	jelena@localhost	2023-07-26 06:45:59	jelena@localhost
S07004	Fahee	\N	52.785	-9.081	Ireland	\N	\N	\N	2023-04-20 14:44:02	Rscripts@localhost
S07698	Kichary Nowe	\N	50.733	21.733	Poland	\N	\N	\N	\N	\N
S12686	Tarnazsadány-Sándorrésze	Heves county	47.697	20.167	Hungary	location of the town	2023-07-19 14:27:29	jelena@localhost	2023-07-19 14:27:29	jelena@localhost
S01214	Le Baratin	\N	44.090	4.850	France	\N	\N	\N	\N	\N
S07592	Zürich - Mythenschloss	\N	47.366	8.544	Switzerland	layer 2 was sampled; 2 types of samples are distinguished for the Zurichsee sites: so-called "closed find complexes"  gFK: geschlossenen Fundkomplexen are clearly visible accumulations of macrofossils, e.g., conspicuous clusters of fruit seeds or collections of crop plants (e.g., storage contexts) that represent deposition over a short time and therefore represent a 'snapshot' at the time of deposition; and so-called "open find complexes' oFK: offenen Fundkomplexen that are taken from a uniform grid covering the excavation area or in the form of profile columns and represent average layer conditions and probably reflect a longer period of deposition and often contain a high number of taxa; data entered in db are taken from table D358 in which ubiquities of taxa in the oFK samples are recorded [numbers of taxa are not given] - for Mythenschloss: oFK sample nos: layer 2: 14 samples; Note: a majority of taxa not preserved by charring are wet-loving species (e.g. non economic plants); in the d/base I've been consistent with other sites & entered all charred remains + waterlogged taxa (e.g. fruits&nuts etc.) which had obviously been deliberately collected & brought to the site (e.g. Corylus, Fragaria, Malus, etc.); if a taxon is preserved by charring & waterlogging the ubiquity & total no relate to the former. There is a discrepancy between the sample numbers and ubiquity scores, which could not be resolved because the raw counts were not provided in the original report	\N	\N	\N	\N
S04583	Aichbühl	\N	48.046	9.661	Germany	\N	\N	\N	\N	\N
S12812	Kapiteljska njiva; Kapiteljska njiva-Novo mesto	\N	45.813	15.159	Slovenia	\N	2024-03-21 13:26:57	jelena@localhost	2024-05-23 17:38:44	Rscripts@localhost
S11613	Srbská Kamenice – Šamanská rokle	Děčín	50.843	14.345	Czechia / Czech Republic	\N	2023-02-22 13:28:08	jan@localhost	2023-03-07 14:45:25	jan@localhost
S06170	Antofts Windypit	\N	54.238	-1.105	Great Britain	\N	\N	\N	\N	\N
S20794	Tiszavasvári-Wienerberger Téglagyár	\N	47.945	21.375	Hungary	\N	2024-11-18 17:36:09	jan@localhost	2024-11-18 17:36:09	jan@localhost
S11921	Кунисовцы; Кунисівці; Kunysivtsi	Ivano-Frankivsk region (Івано-Франківська область)	48.820	25.374	Ukraine	location of the village	2023-03-28 17:25:40	jelena@localhost	2023-03-28 17:25:40	jelena@localhost
S10640	Ecsegfalva 23	\N	47.148	20.924	Hungary	\N	2022-04-08 13:50:10	maria@localhost	2022-04-08 14:50:10	maria@localhost
S11748	Březnice u Bechyně	Tábor	49.246	14.495	Czechia / Czech Republic	\N	2023-02-27 15:03:08	jan@localhost	2023-03-07 14:45:25	jan@localhost
S11012	Blšany u Loun	Louny	50.351	13.852	Czechia / Czech Republic	\N	2022-05-27 09:33:05	robert@localhost	2023-03-01 14:27:35	jan@localhost
S20732	Polgár-Kenderföld; Polgár-Kenderföldek; Polgár-Kiscsöszhalom	\N	47.847	21.149	Hungary	\N	2024-10-29 17:25:15	jan@localhost	2024-10-29 17:25:15	jan@localhost
S11581	Бузьки; Buzki; Buz'ki	Cherkasy region(Черкаська область)	49.530	32.354	Ukraine	according to the map in Soviet Archeology 1971(2)	2023-02-20 09:33:22	natalya@localhost	2023-10-16 13:11:21	jelena@localhost
S10725	Eleshnitsa, Eleshnica; Elešnica; елешница	\N	41.863	23.616	Bulgaria	\N	2022-04-19 09:30:40	robert@localhost	2024-02-08 17:07:34	jan@localhost
S07544	Purbach	\N	47.920	16.680	Austria	\N	\N	\N	\N	\N
S20388	Spijkenisse De Dalle	Zuid-Holland Province	51.844	4.329	Netherlands	based on the publication groot2024a (not exact location)	2024-07-09 13:19:34	jelena@localhost	2024-07-16 13:41:10	jelena@localhost
S11139	Overbygård	\N	57.087	10.088	Denmark	\N	\N	\N	2022-07-05 18:40:15	claudia@localhost
S12117	Rossøy, Steigen	Nordland	67.913	14.932	Norway	\N	2023-04-27 13:45:48	sam@localhost	2023-04-27 13:45:48	sam@localhost
S06957	Curragh	\N	54.202	-6.568	Ireland	\N	\N	\N	\N	\N
S11000	Dăneşti	Vaslui County	46.851	27.674	Romania	within 1 km	2022-05-17 11:52:57	jelena@localhost	2023-07-26 06:44:14	jelena@localhost
S10466	Radotin	\N	49.989	14.375	Czechia / Czech Republic	location: bickl2013a	2022-03-14 17:35:51	robert@localhost	2022-03-14 17:35:51	robert@localhost
S03211	ORVAL	\N	46.730	2.480	France	\N	\N	\N	\N	\N
S03358	Port Charlotte	\N	55.733	-6.384	Great Britain	\N	\N	\N	\N	\N
S02952	Mastellebrug	\N	50.515	4.048	Belgium	\N	\N	\N	\N	\N
S20539	Destelbergen	Campine	51.053	3.776	Belgium	Location by Sarah Dalle in IsoArch	2024-08-15 10:28:07	sam@localhost	2024-08-15 10:28:07	sam@localhost
S06274	Chealamy	\N	58.422	-4.185	Great Britain	\N	\N	\N	\N	\N
S10482	Schwieberdingen "Zollstöckle"	\N	48.877	9.068	Germany	location: bickl2013a	2022-03-14 17:35:51	robert@localhost	2022-03-14 17:35:51	robert@localhost
S12692	Jászdózsa; Jászdózsa-Kápolnahalom	Jász-Nagykun-Szolnok county	47.575	19.986	Hungary	location of the village	2023-07-19 14:27:29	jelena@localhost	2024-10-29 11:14:14	jan@localhost
S02667	Le Moulin	\N	42.980	0.580	France	\N	\N	\N	\N	\N
S12987	Hulterstad by; Hulterstad 64: 1	Öland	56.478	16.576	Sweden	Swedish Sites and Monuments Record (SHM)	2023-10-17 09:45:12	sam@localhost	2023-10-17 09:45:12	sam@localhost
S10781	Turia; Turia de Jos	Covasna County	46.024	26.072	Romania	\N	2022-04-28 18:33:54	jelena@localhost	2023-07-26 06:49:15	jelena@localhost
S04212	Weerselo-Gammelke	\N	52.320	6.850	Netherlands	\N	\N	\N	\N	\N
S09073	Champs Galotte	\N	47.741	3.606	France	\N	\N	\N	\N	\N
S07875	Borremose	\N	56.792	9.577	Denmark	\N	\N	\N	\N	\N
S07285	Woodstown	\N	52.662	-8.520	Ireland	\N	\N	\N	\N	\N
S03414	QUILLIEN	\N	48.470	-3.790	France	\N	\N	\N	\N	\N
S01083	Ängdala	\N	55.580	13.120	Sweden	\N	\N	\N	\N	\N
S03155	NOYEN, Le Barrage	\N	48.460	3.330	France	\N	\N	\N	\N	\N
S01601	Cornille	\N	43.530	5.000	France	\N	\N	\N	\N	\N
S02425	Korsnäs	\N	59.150	17.800	Sweden	\N	\N	\N	\N	\N
S07800	Strzelce-Krzyzanna 56	\N	52.650	18.100	Poland	\N	\N	\N	\N	\N
S11135	Grenåvej	\N	56.255	10.304	Denmark	\N	\N	\N	2022-07-05 17:53:07	claudia@localhost
S01539	Chazelles, grotte de Queroy	\N	45.650	0.320	France	\N	\N	\N	\N	\N
S12600	Niederheim "Innere Allmende"	Haut-Rhin	47.985	7.399	France	\N	2023-06-21 08:36:16	robert@localhost	2023-06-21 08:36:16	robert@localhost
S20283	Beuningen-Hogewald II	Gelderland Province	51.860	5.740	Netherlands	based on the publication groot2024a (not exact location)	2024-07-02 13:28:10	jelena@localhost	2024-07-16 12:05:48	jelena@localhost
S12532	Vinogradnoe	Tokmak, Zaporozhe	47.205	35.560	Ukraine	Coordinates listed publication	2023-06-13 11:05:18	sam@localhost	2023-06-13 11:05:18	sam@localhost
S07547	Stoitzendorf	\N	48.650	15.870	Austria	\N	\N	\N	\N	\N
S04196	Warcock Hill South	\N	53.581	-1.955	Great Britain	\N	\N	\N	\N	\N
S01496	CAVAOU	\N	43.430	4.910	France	\N	\N	\N	\N	\N
S20536	Chichery l'étang David	Yonne	47.915	3.518	France	Within 100 m; found Google Maps	2024-08-06 14:00:26	sam@localhost	2024-08-06 14:00:26	sam@localhost
S07510	Rees	\N	51.767	6.400	Germany	\N	\N	\N	\N	\N
S10660	Karsdorf	\N	51.270	11.657	Germany	\N	2022-04-08 13:50:10	maria@localhost	2022-04-08 14:50:10	maria@localhost
S11481	Racoş-Piatra Detunată/Durduia	Braşov County	46.026	25.410	Romania	\N	2023-02-06 12:41:05	jelena@localhost	2023-07-26 06:42:37	jelena@localhost
S11842	Малая Осница; Malaya Osnitsa	Volyn region (Волынская область)	51.221	25.935	Ukraine	Approximate location	2023-03-01 15:21:23	natalya@localhost	2023-03-01 15:21:23	natalya@localhost
S01802	Eindegoorheide	\N	51.410	4.960	Belgium	\N	\N	\N	\N	\N
S01424	Caisteal Nan Gillean II	\N	56.012	-6.238	Great Britain	\N	\N	\N	\N	\N
S12982	Gärdslösa 171: 1; (excavation 1959-1961)	Öland	56.832	16.754	Sweden	Swedish Sites and Monuments Record (SHM)	2023-10-17 09:45:12	sam@localhost	2023-10-17 09:45:12	sam@localhost
S04428	Moel y Gerddi	\N	52.865	-4.047	Great Britain	W (p142-3) records remains in 3 features: hearths F41/F48 & a palisade slot (3 samples) - latter fill is colluvium & so exact provenance unknown - but date on charcoal in  a/bot sples was early; max vol = 50 l; all features are dated	\N	\N	\N	\N
S20864	Cladrecis	\N	46.067	13.503	Italy	\N	2024-12-03 11:28:43	jelena@localhost	2024-12-03 11:28:43	jelena@localhost
S12831	Didam-Aalsbergen	Gelderland Province	51.931	6.116	Netherlands	based on the publication groot2024a (not exact location)	2024-11-04 10:26:41	jelena@localhost	2024-11-04 10:26:41	jelena@localhost
S10081	Pločnik; Плочник	\N	43.209	21.364	Serbia	\N	2022-01-17 09:51:45	claudia@macelab-server.biochem.ucl.ac.uk	2022-01-17 09:51:45	claudia@macelab-server.biochem.ucl.ac.uk
S02069	Greifensee-Storen	\N	47.367	8.685	Switzerland	\N	\N	\N	\N	\N
S04466	Stora Råby	\N	55.670	13.220	Sweden	H (p4-6) describes taxa identified from impressions in pottery dated to the early Neolithic (TRB A = TRB ENI?); he describes & records nos of impressions in his text - in the table he lists taxa but not plant parts; presence only given in d/base	\N	\N	\N	\N
